objectid,SHAPE__Area,SHAPE__Length,fldn_area,fldn_bgng_tm,fldn_bgng_ymd,fldn_cs_dtl_nm,fldn_dowa,fldn_dst_nm,fldn_end_tm,fldn_end_ymd,fldn_grade,fldn_yr,sn,stdg_ctpv_cd,stdg_sgg_cd
8690,18569.390193905,829.7372573564813,69708,0500,20120917,제방유실로인한 침수,2.011,제16호태풍(산바),0800,20120918,5,2012,761,47,47130
8691,3215.81552205,334.35690390699614,69708,0500,20120917,제방유실로인한 침수,2.318,제16호태풍(산바),0800,20120918,5,2012,766,47,47130
8692,180206.70261523,3205.2937397264336,615127,0800,20120917,저지대로인한 강물 역류,0.49,제16호태풍(산바),0500,20120918,1,2012,860,47,47130
8694,18884.19800781,1823.6049943621979,311856,1400,20120917,제방붕괴로인한저지대침수,0.244,16호태풍산바로인한침수,1500,20120918,1,2012,987,47,47150
8695,31425.02581388,836.3857380516414,252894,0800,20120917,형산강물 역류로인한 침수,1.189,제16호태풍(산바),0500,20120918,3,2012,826,47,47130
8696,69470.944294715,1045.4188055362465,252894,0800,20120917,형산강물 역류로인한 침수,1.486,제16호태풍(산바),0500,20120918,3,2012,886,47,47130
8697,16606.696043395,634.5772921527869,82825,0500,20120917,저지대로인한 침수,0.398,제16호태풍(산바),0800,20120918,1,2012,859,47,47130
8698,47268.39818727,1089.1085207014512,147445,0800,20120917,저지대로인한 침수,0.427,제16호태풍(산바),0500,20120918,1,2012,874,47,47130
8699,805523.35353011,5696.916829243535,1222081,0500,20120917,저지대 형산강물 역류인한 침수,1.734,제16호태풍(산바),0800,20120918,4,2012,857,47,47130
8700,12895.00133393,557.0682392675262,82825,0500,20120917,저지대로인한 침수,0.859,제16호태풍(산바),0800,20120918,2,2012,863,47,47130
8701,220690.171497365,3276.070602645778,615127,0800,20120917,저지대로인한 강물 역류,0.84,제16호태풍(산바),0500,20120918,2,2012,885,47,47130
8702,29783.18693765,845.5370645511226,147445,0800,20120917,저지대로인한 침수,0.783,제16호태풍(산바),0500,20120918,2,2012,827,47,47130
8703,86605.05949571,1735.5824720488977,311856,1400,20120917,제방붕괴로인한저지대침수,2.545,16호태풍산바로인한침수,1500,20120918,5,2012,990,47,47150
8704,34157.53585343,1203.9895171747216,311856,1400,20120917,제방붕괴로인한저지대침수,0.838,16호태풍산바로인한침수,1500,20120918,2,2012,1003,47,47150
8705,28105.19151979,1208.925549722894,311856,1400,20120917,제방붕괴로인한저지대침수,2.014,16호태풍산바로인한침수,1500,20120918,5,2012,999,47,47150
8706,48414.411633295,1152.734950273631,311856,1400,20120917,제방붕괴로인한저지대침수,1.626,16호태풍산바로인한침수,1500,20120918,4,2012,995,47,47150
8707,48260.25008229,992.9186448265062,147445,0800,20120917,저지대로인한 침수,1.137,제16호태풍(산바),0500,20120918,3,2012,829,47,47130
8708,21478.20452857,591.907556889135,82825,0500,20120917,저지대로인한 침수,2.31,제16호태풍(산바),0800,20120918,5,2012,868,47,47130
8711,18613.54233686,770.5578029284065,147445,0800,20120917,저지대로 인한 침수,0.423,제16호태풍(산바),0500,20120918,1,2012,838,47,47130
8712,29121.897089935,2089.2304188174276,1222081,0500,20120917,저지대 형산강물 역류인한 침수,0.601,제16호태풍(산바),0800,20120918,2,2012,835,47,47130
8713,15909.182779625,567.2630313775626,82825,0500,20120917,저지대로인한 침수,2.375,제16호태풍(산바),0800,20120918,5,2012,853,47,47130
8714,25425.972196695,778.5922491575657,252894,0800,20120917,형산강물 역류로인한 침수,0.453,제16호태풍(산바),0500,20120918,1,2012,877,47,47130
8715,44208.04207361,955.4926060852515,82825,0500,20120917,저지대로인한 침수,0.916,제16호태풍(산바),0800,20120918,2,2012,862,47,47130
8716,34811.15256201,795.3294067653354,147445,0800,20120917,저지대로 인한 침수,1.139,제16호태풍(산바),0500,20120918,3,2012,888,47,47130
